phone_number,cluster,provider
9946594733,Alpha,Jio
9230744800,Alpha,Airtel
9316916607,Alpha,Airtel
9124437123,Alpha,Vi
9174433688,Alpha,Vi
9227419531,Alpha,BSNL
9779800587,Alpha,BSNL
9651098441,Alpha,BSNL
9164162348,Alpha,Airtel
9760695376,Alpha,Jio
9262613175,Alpha,Vi
9613065710,Alpha,Jio
9867957964,Alpha,Jio
9214130709,Bravo,Vi
9819249363,Bravo,BSNL
9772728810,Bravo,Jio
9512991937,Bravo,Vi
9362271020,Bravo,Airtel
9307815460,Bravo,Jio
9980424436,Bravo,BSNL
9963277712,Charlie,Vi
9875191871,Charlie,Airtel
9836897226,Charlie,Airtel
9355640455,Charlie,Vi
9819987632,Charlie,Vi
9619119798,Charlie,BSNL
9638456848,Charlie,BSNL
9167860086,Charlie,Vi
9348286162,Delta,Vi
9782167638,Delta,Airtel
9877276846,Echo,Vi
9980222397,Echo,Airtel
9991059204,Echo,Airtel
9547875230,Echo,BSNL
9164806396,Echo,Airtel
9148530158,Echo,Airtel
9990140207,Echo,Jio
9534924451,Foxtrot,Airtel
9195546643,Foxtrot,Airtel
9850587225,Ghost,Jio
9852094368,Ghost,Vi
9803699407,Ghost,Airtel
