call_id,caller_number,receiver_number,timestamp,duration_seconds,call_type,cell_tower_id,tower_location,imei_caller,imei_receiver,source_case_id,flagged_suspicious
CDR001000,+91-98110-44501,+91-98765-32100,2025-03-08 21:17:00,101,VOICE,CT004,"Bandra West, Mumbai",352802754416809,351560157888921,101,NO
CDR001001,+91-98110-44501,+91-98765-32100,2025-03-01 07:05:00,288,VOICE,CT004,"Bandra West, Mumbai",351466442118724,354498513908134,101,NO
CDR001002,+91-98110-44501,+91-98765-32100,2025-03-08 15:41:00,259,VOICE,CT007,"Salt Lake, Kolkata",355894498626988,353808074611645,101,NO
CDR001003,+91-98110-44501,+91-98765-32100,2025-03-08 10:27:00,109,VOICE,CT006,"Andheri East, Mumbai",356921744116206,352628231594989,101,NO
CDR001004,+91-98110-44501,+91-98765-32100,2025-03-05 01:06:00,339,VOICE,CT006,"Andheri East, Mumbai",357661160537249,351803457621458,101,YES
CDR001005,+91-98110-44501,+91-98765-32100,2025-03-08 01:14:00,467,VOICE,CT005,"Meerut City, UP",357683402910416,358976948156217,101,YES
CDR001006,+91-98110-44501,+91-98765-32100,2025-03-07 18:53:00,219,VOICE,CT006,"Andheri East, Mumbai",354686607816019,355697277634980,101,NO
CDR001007,+91-98110-44501,+91-98765-32100,2025-03-08 11:59:00,303,VOICE,CT002,"Karol Bagh, Delhi",355306688806356,359131074899695,101,YES
CDR001008,+91-98110-44501,+91-98765-32100,2025-03-05 01:17:00,461,VOICE,CT004,"Bandra West, Mumbai",355028919575309,351566170331051,101,YES
CDR001009,+91-98110-44501,+91-98765-32100,2025-03-09 14:20:00,63,VOICE,CT007,"Salt Lake, Kolkata",354737973078743,359781728240661,101,NO
CDR001010,+91-98110-44501,+91-98765-32100,2025-03-05 05:56:00,165,VOICE,CT008,"MG Road, Gurgaon",355338516676637,355623699700328,101,NO
CDR001011,+91-98110-44501,+91-98765-32100,2025-03-08 23:37:00,0,SMS,CT007,"Salt Lake, Kolkata",354858435394711,359964190877060,101,NO
CDR001012,+91-98110-44501,+91-98765-32100,2025-03-06 06:05:00,108,VOICE,CT001,"Rohini Sector 7, Delhi",353815898439108,357769141307920,101,NO
CDR001013,+91-98110-44501,+91-98765-32100,2025-03-05 01:38:00,313,VOICE,CT008,"MG Road, Gurgaon",353017435138489,356985642353299,101,YES
CDR001014,+91-98110-44501,+91-98765-32100,2025-03-02 04:18:00,262,VOICE,CT007,"Salt Lake, Kolkata",355633065750027,359808857184395,101,NO
