txn_id,timestamp,sender_account,sender_name,sender_ifsc,sender_bank,receiver_account,receiver_name,receiver_ifsc,receiver_bank,amount_inr,txn_type,source_case_id,flagged_suspicious,remarks
TXN0005000,2026-07-02 05:45:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,414000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005001,2025-12-08 16:06:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,103000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005002,2026-08-27 21:57:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,162000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005003,2026-03-20 20:24:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,443000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005004,2026-07-02 08:39:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,266000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005005,2026-07-11 18:10:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,181000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005006,2026-04-17 15:00:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,233000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005007,2026-06-10 16:50:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,396000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005008,2026-06-26 03:59:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,457000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005009,2026-08-09 02:56:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,389000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005010,2026-08-09 05:52:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,393000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005011,2026-05-30 19:58:13,303040404050505,Ravi Kumar,SBIN0001234,State Bank of India,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,403000,NEFT,101,YES,Unstructured payment - no invoice reference
TXN0005012,2026-02-03 20:47:13,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,112233445566778,Aarav Mehta,ICIC0003456,ICICI Bank,86000,HAWALA,105,YES,Unstructured payment - no invoice reference
TXN0005013,2026-02-25 00:46:13,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,112233445566778,Aarav Mehta,ICIC0003456,ICICI Bank,167000,HAWALA,105,YES,Unstructured payment - no invoice reference
TXN0005014,2026-06-28 08:24:13,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,112233445566778,Aarav Mehta,ICIC0003456,ICICI Bank,183000,HAWALA,105,YES,Unstructured payment - no invoice reference
TXN0005015,2025-12-31 02:57:13,777666555444333,O001,KKBK0006789,Kotak Mahindra Bank,112233445566778,Aarav Mehta,ICIC0003456,ICICI Bank,194000,HAWALA,105,YES,Unstructured payment - no invoice reference
